k,Adult log-likelihood
2,-15.880879725856738
3,-14.445020159177862
4,-12.834257746510188
5,-12.554265575236231
6,-12.683861540758675
7,-12.102656357760543
8,-11.205083718203374
9,-10.822845743822946
10,-10.600571720772809
15,-9.853704946291622
20,-9.522766763466578
25,-8.74740797715613
30,-8.087302095556012
35,-7.281453803027519
40,-7.075645381310076
