k,Adult log-likelihood
2,1.9089236129712044
3,7.081276019636825
4,14.40230089381895
5,14.473089391289967
6,17.113265322564672
7,17.300849816721758
8,21.339941061779566
9,23.112378133880352
10,24.34141769120455
15,25.294819846497557
20,26.057240127121403
25,28.000563974289193
30,28.96573874147891
35,29.190058655436516
40,28.578915339808823
