k,Madelon BIC
2,16003.359415268034
3,17662.135956964798
4,19280.41040746668
5,20957.286205000084
6,22513.2390430814
7,24287.065114543577
8,25819.747815922634
9,27634.433138358847
10,29620.422248412582
15,38210.44080297681
20,46035.94429520609
25,54040.29813368745
30,57466.20494056552
35,63212.669933002
40,63796.995814994225
