k,Madelon log-likelihood
2,-5.7016250319036414
3,-5.314505434476337
4,-4.906721504806746
5,-4.528836221581809
6,-4.089255550881316
7,-3.760834693130243
8,-3.309381503704109
9,-3.0018072025724427
10,-2.7816327930823674
15,-0.9971245233338084
20,1.1774424516876791
25,3.2607592500499494
30,7.680018411475119
35,10.915319314962327
40,16.784364662553745
