,0,1,2,3,4,5,6,7,8,9
2,0.9961428591719829,0.9959858626426936,0.9959898947819719,0.9959791617614826,0.9960818800909458,0.9958581970445142,0.996062334223601,0.9961165205516415,0.9958903583260051,0.9960543142177974
3,0.9937393886613458,0.993827736546255,0.9938481779056159,0.9939086902678463,0.9938973272033207,0.9940805021316718,0.9939750030031077,0.9942481574753007,0.9938884387465021,0.9940552323266749
4,0.9920343335078211,0.9919506452525975,0.9918107674217641,0.9923010977366636,0.9919257768578656,0.9921502541498586,0.9919147283486027,0.9917737955133615,0.9923297573316607,0.9918128602972994
5,0.9902465790159322,0.9899201098786308,0.9900318577367929,0.9901875134623725,0.9900368020330051,0.9902027930805744,0.9899925759366102,0.9898881897042349,0.9894775699162699,0.9901499716827212
6,0.9881242546860957,0.9881233517032604,0.9877771523868737,0.9881825975291676,0.9882514325957806,0.9879698652764234,0.9883134383619001,0.9878943334396135,0.9877469588308311,0.988072116150671
7,0.9863318354640723,0.9859934799246778,0.9860398121404865,0.9863612246995783,0.986156537893717,0.9855824666395965,0.9860040823899497,0.9860911255225524,0.9866446833372372,0.9859456270716536
8,0.9841669823893828,0.9842245596955596,0.9836723099290129,0.9838461991901178,0.9839260300102604,0.9839022777234422,0.9841736727977507,0.9839014908677014,0.9842648995448692,0.9841615623418997
9,0.982352291335201,0.9819343334419398,0.98220791832298,0.9819752688985492,0.9818793404003733,0.9825064063247773,0.9818033765307527,0.9817200851593275,0.9818712334057635,0.9821817159223281
10,0.9802113334165913,0.9802340030887939,0.9800316567118685,0.9800563004083246,0.9799145682283125,0.9799344478538268,0.9796739269520484,0.9798778714002553,0.9804328300734516,0.9801189113247706
15,0.969468440054389,0.9699468340517177,0.9694289014650619,0.9703346542992278,0.9695960771706594,0.9695793883444206,0.9699195653130454,0.9700369012415778,0.9699956815484805,0.9701167132645927
20,0.9598086862207746,0.9602737422525349,0.9598780192380445,0.9607179681906308,0.9607922883657336,0.9607452933984322,0.9599904077643929,0.9598634927976794,0.9597040430967149,0.9598616839855247
25,0.9500956614811414,0.9499136474387615,0.95016780409343,0.9506828674567157,0.9492765276270683,0.9501442533904733,0.9497237101682315,0.9501967129395965,0.9491558119211588,0.9511544731677591
30,0.9399503242998954,0.9401019589487699,0.9402610266651393,0.9396152674012361,0.9396662923687994,0.9402972877637747,0.9391806599245074,0.939440665242812,0.9399150953040109,0.9392487722230711
35,0.9304808052147792,0.9294145514643067,0.9297495587626619,0.9307213235796672,0.9302082428688576,0.9304421311908134,0.9300847171884812,0.9302375184573253,0.9303770529680004,0.9298798017331906
40,0.9207138710723805,0.9198741541262154,0.9204391044568775,0.9197242128588113,0.9199952422392468,0.9192673581786153,0.9206481643446905,0.9207987204363908,0.9194016244255452,0.9203405956600959
45,0.9102324016967693,0.909683952422213,0.9092784120292378,0.9098510381123985,0.9090402053830229,0.9093281709946692,0.9099448568020125,0.9097339752120438,0.9101383400007389,0.9108487704264607
50,0.8996296680511149,0.900325591432767,0.8997862184571922,0.8999990834333441,0.900181563548145,0.9000617173321177,0.8998973239639058,0.8989796795017091,0.8997685708481838,0.9008492213094429
55,0.8897588294153755,0.889883258115987,0.889252959866279,0.8893333479716771,0.8898341630988647,0.8896759795053137,0.889650613724653,0.8897932071565601,0.8902321449402462,0.891072254339332
60,0.8794264114444578,0.879917133599838,0.881244407968897,0.8796152116784794,0.8804744722387662,0.8789731685018205,0.8791420991517781,0.8798543169828986,0.881316207863209,0.8795602124478329
