,0,1,2,3,4,5,6,7,8,9
2,0.9622065106193216,0.9641449136800122,0.9630072925793552,0.9629904719394543,0.9622324652868453,0.9629832480057681,0.9615354612252232,0.9642221811522358,0.9630349530596487,0.9611134442909689
3,0.954506403882993,0.9524246452076125,0.9550148134271181,0.9512404504795153,0.9544025527130129,0.9524544707339405,0.9533894842516064,0.9515571201456489,0.9544710648514044,0.955481239030325
4,0.9425376905229101,0.9454095739642964,0.9442506918903321,0.9436419829504369,0.9452944455249548,0.9444961014904938,0.9446414953194332,0.9445404383296608,0.945150390833623,0.9444330839234464
5,0.9346710806144328,0.9319148494852703,0.9359844133944561,0.9329809221182594,0.9338604330194215,0.9343899358227874,0.9346481252876166,0.9352750856938005,0.9351886195135138,0.9263148143636346
6,0.9237034255988126,0.9280728962877651,0.9280601512698221,0.9255363961567361,0.925583745477966,0.9247926631939217,0.924300273870783,0.9272657663648902,0.9274945550823155,0.9226530304778654
7,0.9173621954875546,0.9152203658445488,0.917425243243817,0.914051764803211,0.9113961733061314,0.9144295745612059,0.9139371001189122,0.91501076259861,0.91508974929953,0.9143605935535096
8,0.9021709434756134,0.900980140458014,0.9058079856909734,0.9048305266176627,0.9015903892480531,0.9058674110871772,0.9047341924102738,0.9040734415692607,0.9091896173592791,0.9094976065784285
9,0.8978338077025386,0.8993131656896682,0.8957551544096246,0.8990728103619738,0.8942278178818163,0.8978379118273019,0.8944411857837598,0.899472251105564,0.8951711284950316,0.8955379229558599
10,0.8829690261650704,0.8844279491384488,0.883908246771911,0.8872905850125141,0.8881596842385978,0.8882750008630625,0.882189400655413,0.8885261772028479,0.8904058508222122,0.8915800774676693
15,0.8371438436241516,0.8416192984023879,0.8341717943311132,0.8400186284009283,0.8390525495231665,0.8412986120275499,0.8391630913374442,0.849007458787698,0.8388106216579986,0.842620970251283
20,0.7996673404002368,0.7949788204870465,0.7943166287115264,0.7939786928715684,0.7882978396501904,0.7947593015635018,0.7990844260164953,0.7942131552836168,0.7934999109679318,0.8006503123254668
25,0.7473312208866618,0.7480431360137823,0.7502371064995267,0.7524361156416851,0.7454649446607076,0.7536120880922109,0.7481428187084723,0.7562535427835982,0.7464732001523792,0.7501169754248794
30,0.6973310834545279,0.6975855180282945,0.7012526489863423,0.7015990084466737,0.7042378659178259,0.701179813068857,0.6984932659757124,0.7036825205277925,0.7053818755905978,0.7014918795821762
35,0.6617357010389014,0.6543370036152211,0.6531686236920424,0.6579629532430914,0.6551661784601062,0.6555578519876164,0.660692138103932,0.6538285918638403,0.6466153814282212,0.653595791917113
40,0.6082173930580336,0.6172923465945616,0.6064430974471953,0.6119159966181223,0.6140386758699432,0.6106835583618143,0.6064866297098235,0.6095214998497775,0.6057048483328136,0.6143187615890637
45,0.5569375457756749,0.5568171469887732,0.5673662934745205,0.5676923745632111,0.5602807214299874,0.5625025600191237,0.5667610231354454,0.564887766015951,0.5691060411395736,0.5623395689674763
50,0.5097616362175467,0.5168340923450166,0.5174034079989939,0.5180107748902917,0.5144288688315074,0.5123171363207694,0.5145006386496557,0.5181410075644762,0.514854556818742,0.5210646715355941
55,0.47659346094137345,0.47075829656602386,0.46742968921407346,0.4694418479683039,0.46844896454735935,0.4728421928997506,0.47321319581309,0.47381841289871807,0.47351019355056756,0.46704994135192346
60,0.4177569706423529,0.4189163299666041,0.4284189439475206,0.42131074655511846,0.4182388596342847,0.4257337803966742,0.42809339072230684,0.4284614684049812,0.4242202686864211,0.42536140706895137
