,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_rp__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.42002320289611816,0.09355272306650404,0.0026197433471679688,0.0017365153925611408,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 2}",0.4928571428571429,0.49642857142857144,0.5178571428571429,0.5392857142857143,0.5035714285714286,0.51,0.016963345838625583,152,0.5330357142857143,0.5392857142857143,0.5276785714285714,0.525,0.5357142857142857,0.5321428571428571,0.005206207048969
1,0.5863927364349365,0.23010433446501458,0.010010194778442384,0.006493370020137118,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 3}",0.5464285714285714,0.5285714285714286,0.5035714285714286,0.5178571428571429,0.5214285714285715,0.5235714285714286,0.014033487645991768,35,0.5607142857142857,0.5553571428571429,0.5446428571428571,0.5125,0.5107142857142857,0.5367857142857143,0.021207189770433624
2,0.5010581493377686,0.06505031507463913,0.0046008586883544925,0.0008004195639303641,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 4}",0.4785714285714286,0.5321428571428571,0.5035714285714286,0.49642857142857144,0.5642857142857143,0.515,0.030084913840932405,95,0.5535714285714286,0.54375,0.5669642857142857,0.5357142857142857,0.5669642857142857,0.553392857142857,0.012441188177393116
3,0.6707161426544189,0.07953498353483039,0.004298210144042969,0.0025832015017775035,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 5}",0.5071428571428571,0.5285714285714286,0.49642857142857144,0.575,0.45357142857142857,0.5121428571428571,0.039808213694550766,120,0.5482142857142858,0.5526785714285715,0.5508928571428572,0.5785714285714286,0.5964285714285714,0.5653571428571429,0.018994158607963902
4,0.6107772350311279,0.04941284566334499,0.003241443634033203,0.0011241687830494088,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 6}",0.5,0.48214285714285715,0.4928571428571429,0.4857142857142857,0.49642857142857144,0.49142857142857144,0.006624013211068361,315,0.5741071428571428,0.5598214285714286,0.5410714285714285,0.55625,0.5598214285714286,0.5582142857142857,0.010540253259552646
5,0.651435375213623,0.24298288209297914,0.005817985534667969,0.002170827777978003,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}",0.48214285714285715,0.5178571428571429,0.5178571428571429,0.46785714285714286,0.48928571428571427,0.495,0.01989769753883448,282,0.4955357142857143,0.5321428571428571,0.5732142857142857,0.6383928571428571,0.5776785714285714,0.5633928571428571,0.04797227621985727
6,0.6595459461212159,0.2775300165240128,0.002605438232421875,0.0021467184660316223,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 8}",0.5678571428571428,0.5321428571428571,0.44642857142857145,0.5178571428571429,0.46785714285714286,0.5064285714285715,0.043938732854941986,174,0.6428571428571429,0.5526785714285715,0.5785714285714286,0.6008928571428571,0.5375,0.5825,0.037178039655864886
7,0.6725374698638916,0.10982094548825556,0.005611228942871094,0.0013760721949482191,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 9}",0.48928571428571427,0.5464285714285714,0.5285714285714286,0.49642857142857144,0.5285714285714286,0.5178571428571429,0.021547290184283356,78,0.5866071428571429,0.5758928571428571,0.5919642857142857,0.6125,0.5928571428571429,0.5919642857142857,0.01191220005725568
8,0.5363072395324707,0.13879151687440766,0.005450248718261719,0.002447516893832191,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 10}",0.4607142857142857,0.5357142857142857,0.46785714285714286,0.46785714285714286,0.5392857142857143,0.4942857142857143,0.03539860483818247,285,0.5258928571428572,0.5464285714285714,0.6142857142857143,0.6044642857142857,0.5625,0.5707142857142857,0.03377502851250327
9,0.4806816101074219,0.15950419777438346,0.005819892883300782,0.0016286595472444112,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 15}",0.4714285714285714,0.5107142857142857,0.475,0.5107142857142857,0.525,0.49857142857142855,0.021380899352993955,249,0.5339285714285714,0.525,0.6276785714285714,0.5089285714285714,0.5428571428571428,0.5476785714285715,0.0415407962742897
10,0.5094263076782226,0.25554554108594707,0.0062252521514892575,0.002745152002658904,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 20}",0.525,0.5071428571428571,0.5535714285714286,0.5142857142857142,0.5035714285714286,0.5207142857142857,0.017985254731448838,50,0.6732142857142858,0.5375,0.5366071428571428,0.5339285714285714,0.5392857142857143,0.5641071428571428,0.05458096401359236
