k,Adult sse (left)
2,43657.39470840409
3,39602.830255959365
4,35841.99756874624
5,32658.43180745558
6,30356.21446893309
7,27527.87235662083
8,25695.50082705817
9,24369.346761697154
10,22987.818484922223
15,19666.614099091894
20,17786.065827279832
25,16274.652146537035
30,15193.218833015297
35,14121.95612459326
40,13170.374470837485
