param_MLP__max_iter,train acc,test acc
1,0.654375,0.54
2,0.761875,0.5575
4,0.8725,0.5825
8,0.975,0.6075
16,1.0,0.595
32,1.0,0.58
64,1.0,0.5875
128,1.0,0.58
256,1.0,0.58
512,1.0,0.58
1024,1.0,0.58
2048,1.0,0.58
2100,1.0,0.58
2200,1.0,0.58
2300,1.0,0.58
2400,1.0,0.58
2500,1.0,0.58
2600,1.0,0.58
2700,1.0,0.58
2800,1.0,0.58
2900,1.0,0.58
3000,1.0,0.58
