param_Boost__n_estimators,train acc,test acc
1,0.8134384473992028,0.7930960875796663
2,0.7997242844525076,0.8040702284024028
5,0.8147155713637775,0.8104587869362364
10,0.8183810364994869,0.8041197816607203
20,0.8171242032894895,0.8041197816607203
30,0.8157480126996253,0.8072302015674075
40,0.8165703850469076,0.806570762052877
50,0.8165703850469076,0.806570762052877
60,0.8165703850469076,0.806570762052877
70,0.8165703850469076,0.806570762052877
80,0.8165703850469076,0.806570762052877
90,0.8165703850469076,0.806570762052877
100,0.8165703850469076,0.806570762052877
