param_SVM__max_iter,train acc,test acc
1,0.490625,0.505
2,0.510625,0.5075
4,0.516875,0.5275
8,0.53625,0.5325
16,0.574375,0.525
32,0.6125,0.5825
64,0.708125,0.6775
128,0.846875,0.7425
256,0.9875,0.765
512,1.0,0.8125
1024,1.0,0.835
2048,1.0,0.8325
