mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__base_estimator__alpha,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
6.986275005340576,2.1619555573047124,0.010303497314453125,0.0029207545622650204,-0.001,30,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 30}",0.69375,0.584375,0.64375,0.696875,0.675,0.65875,0.04171143428365897,78,0.95078125,0.94609375,0.96484375,0.96953125,0.96171875,0.95859375,0.008783418326596992
6.988144063949585,2.1087017115357107,0.006045103073120117,0.00421410026545336,-0.001,45,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 45}",0.69375,0.584375,0.64375,0.696875,0.675,0.65875,0.04171143428365897,78,0.95078125,0.94609375,0.96484375,0.96953125,0.96171875,0.95859375,0.008783418326596992
6.973683929443359,2.1555293343679915,0.009023141860961915,0.0009210292506743081,-0.001,60,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 60}",0.69375,0.584375,0.64375,0.696875,0.675,0.65875,0.04171143428365897,78,0.95078125,0.94609375,0.96484375,0.96953125,0.96171875,0.95859375,0.008783418326596992
7.014770269393921,2.138103346767117,0.008129501342773437,0.00307680046164559,-0.001,80,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 80}",0.69375,0.584375,0.64375,0.696875,0.675,0.65875,0.04171143428365897,78,0.95078125,0.94609375,0.96484375,0.96953125,0.96171875,0.95859375,0.008783418326596992
7.111155366897583,2.1622298691536437,0.007494115829467773,0.002968842066763199,-0.001,100,"{'Boost__base_estimator__alpha': -0.001, 'Boost__n_estimators': 100}",0.69375,0.584375,0.64375,0.696875,0.675,0.65875,0.04171143428365897,78,0.95078125,0.94609375,0.96484375,0.96953125,0.96171875,0.95859375,0.008783418326596992
0.44527363777160645,0.050122710881509235,0.0024091243743896485,0.0023302046202904308,-0.00031622776601683794,1,"{'Boost__base_estimator__alpha': -0.00031622776601683794, 'Boost__n_estimators': 1}",0.75625,0.746875,0.68125,0.703125,0.703125,0.718125,0.028600152971618855,11,0.89140625,0.80546875,0.88828125,0.8875,0.92265625,0.8790625000000001,0.03905124837953328
0.9921501159667969,0.15368378474895117,0.004026889801025391,0.002776951572217817,-0.00031622776601683794,2,"{'Boost__base_estimator__alpha': -0.00031622776601683794, 'Boost__n_estimators': 2}",0.75625,0.746875,0.68125,0.696875,0.703125,0.716875,0.02935504641454342,21,0.89140625,0.80546875,0.88828125,0.91875,0.92265625,0.8853125000000001,0.04226959604727729
2.7343191623687746,0.30746095929616796,0.006436300277709961,0.0013990081271161173,-0.00031622776601683794,5,"{'Boost__base_estimator__alpha': -0.00031622776601683794, 'Boost__n_estimators': 5}",0.703125,0.63125,0.653125,0.73125,0.671875,0.678125,0.03552068059595705,60,0.94921875,0.9421875,0.94921875,0.95234375,0.9546875,0.94953125,0.004210060495408614
5.423210382461548,0.8803514600266195,0.010145950317382812,0.0013232889537068155,-0.00031622776601683794,10,"{'Boost__base_estimator__alpha': -0.00031622776601683794, 'Boost__n_estimators': 10}",0.69375,0.584375,0.65,0.69375,0.671875,0.65875,0.040572080917793706,78,0.95078125,0.94609375,0.96328125,0.9671875,0.96328125,0.9581250000000001,0.008172935519138762
6.998546600341797,2.1443892785047622,0.006868982315063476,0.0039422529475505565,-0.00031622776601683794,20,"{'Boost__base_estimator__alpha': -0.00031622776601683794, 'Boost__n_estimators': 20}",0.69375,0.584375,0.64375,0.696875,0.675,0.65875,0.04171143428365897,78,0.95078125,0.94609375,0.96484375,0.96953125,0.96171875,0.95859375,0.008783418326596992
