mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
3.142634916305542,0.10289293596585013,0.1713961124420166,0.018576577488633252,1,{'MLP__max_iter': 1},0.51875,0.509375,0.496875,0.534375,0.503125,0.5125,0.013110110602126903,20,0.55625,0.5078125,0.5015625,0.53125,0.50390625,0.52015625,0.020918834963974457
6.288936948776245,0.2830800989343714,0.16301369667053223,0.025560766360394206,2,{'MLP__max_iter': 2},0.5,0.5125,0.503125,0.50625,0.5,0.504375,0.004677071733467407,21,0.5,0.54375,0.50625,0.6046875,0.50859375,0.5326562499999999,0.039126198064723866
12.789974308013916,0.21949416799504742,0.15560216903686525,0.019806448379153768,4,{'MLP__max_iter': 4},0.4875,0.4875,0.490625,0.496875,0.521875,0.496875,0.012960275845829823,22,0.5328125,0.525,0.5359375,0.6734375,0.534375,0.5603125,0.056687534454234294
25.915696477890016,0.07625066958330277,0.14380483627319335,0.024479409355907106,8,{'MLP__max_iter': 8},0.584375,0.59375,0.578125,0.603125,0.565625,0.585,0.012869537676233743,2,0.67421875,0.675,0.72265625,0.709375,0.584375,0.673125,0.048267342252552095
50.93844885826111,0.4350198161748032,0.13300366401672364,0.027302927017551087,16,{'MLP__max_iter': 16},0.596875,0.528125,0.621875,0.56875,0.6125,0.585625,0.0339231668627798,1,0.76640625,0.7828125,0.828125,0.7625,0.7140625,0.77078125,0.036709107776545034
96.84493284225464,2.5706053665805486,0.16233649253845214,0.037133899664453046,32,{'MLP__max_iter': 32},0.59375,0.5375,0.6,0.559375,0.5625,0.570625,0.023184046238739264,3,0.80546875,0.8484375,0.8109375,0.8265625,0.7546875,0.80921875,0.03107922085172021
109.81582150459289,14.891353400491434,0.16061630249023437,0.03373512946234453,64,{'MLP__max_iter': 64},0.59375,0.503125,0.59375,0.559375,0.559375,0.561875,0.03315446802468709,4,0.80546875,0.84296875,0.84375,0.8265625,0.759375,0.815625,0.031386420979063544
110.95604333877563,15.348382933711202,0.1291067123413086,0.028379697977018347,128,{'MLP__max_iter': 128},0.59375,0.503125,0.59375,0.559375,0.559375,0.561875,0.03315446802468709,4,0.80546875,0.84296875,0.84375,0.8265625,0.759375,0.815625,0.031386420979063544
112.11591248512268,15.518779855230903,0.1414031505584717,0.028404694941350145,256,{'MLP__max_iter': 256},0.59375,0.503125,0.59375,0.559375,0.559375,0.561875,0.03315446802468709,4,0.80546875,0.84296875,0.84375,0.8265625,0.759375,0.815625,0.031386420979063544
112.80294022560119,15.436950191909263,0.14684009552001953,0.01730476945097879,512,{'MLP__max_iter': 512},0.59375,0.503125,0.59375,0.559375,0.559375,0.561875,0.03315446802468709,4,0.80546875,0.84296875,0.84375,0.8265625,0.759375,0.815625,0.031386420979063544
