mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3838953018188477,0.12729279999067336,0.004847574234008789,0.003751413724251589,relu,10.0,"(106,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (106,), 'MLP__learning_rate_init': 1e-06}",0.47624191353751405,0.43881740708027966,0.4853667852283306,0.4350934568284357,0.42004249122723253,0.45111241078035846,0.025210981656334872,3361,0.4602689121768398,0.45226599985677113,0.453401386932754,0.46466126375593797,0.4503264424339356,0.45618480103124776,0.0054028723160201774
0.5704959869384766,0.11901710062307923,0.006524515151977539,0.0010479929883482513,relu,10.0,"(106,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (106,), 'MLP__learning_rate_init': 0.001}",0.6815007996944452,0.7349191950538303,0.708135399011721,0.7247439784201859,0.7439724523167268,0.7186543648993818,0.02206204747543341,2186,0.7329930653362298,0.7352011768637655,0.7452823995607649,0.7434114726313529,0.7211528132534435,0.7356081855291112,0.008607485161593743
0.49623832702636717,0.12292290953351799,0.006943225860595703,0.0020559988865343254,relu,10.0,"(106,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (106,), 'MLP__learning_rate_init': 0.002}",0.6955670669117472,0.7439724523167268,0.708135399011721,0.7429996896708125,0.7714306175550836,0.7324210450932181,0.02725838508421217,1851,0.7482931894679048,0.7464237545057412,0.7278308586569908,0.7573091475495931,0.7560931942422001,0.7471900288844859,0.010566404568620163
0.5061381340026856,0.11824418663218922,0.005655717849731445,0.0008033884753571355,relu,10.0,"(106,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (106,), 'MLP__learning_rate_init': 0.004}",0.7162158936287031,0.7484602897997183,0.7131484089661264,0.7531749063044569,0.7560931942422001,0.737418538588241,0.018748426613309093,1765,0.7580939223222173,0.738623749731446,0.7599275500704209,0.7521842400515624,0.7443842352772673,0.7506427394905828,0.008096036646307165
0.3629657745361328,0.09591420886267546,0.0053996086120605465,0.000489278739320565,relu,10.0,"(106,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (106,), 'MLP__learning_rate_init': 0.008}",0.6895812943114273,0.7610286218996921,0.7333496455085818,0.7678379604210929,0.7697834857129218,0.7443162015707432,0.030322717948080984,1431,0.7500328232794634,0.7592158816929652,0.7422149148981881,0.7525945310448545,0.7683243417440502,0.7544764985319043,0.008807485440846394
0.3151590347290039,0.048113207166419,0.0063991546630859375,0.0013587300829451924,relu,10.0,"(106,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (106,), 'MLP__learning_rate_init': 0.016}",0.7211513212861951,0.6913776228784225,0.6849442601036022,0.7410541643789836,0.7288618080255903,0.7134778353345588,0.021719057217300074,2274,0.7712217421403166,0.6907241412236519,0.7081935857344059,0.7468907402544699,0.7031059774175838,0.7240272373540856,0.03015811963538319
0.4053009510040283,0.16780155028668464,0.004495573043823242,0.0026859343043378918,relu,10.0,"(106,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (106,), 'MLP__learning_rate_init': 0.032}",0.7092573583824688,0.7673127879496789,0.6729727149029625,0.7028239956076485,0.7033491680790624,0.7111432049843642,0.030807534912395965,2300,0.746628154018763,0.7478993101143444,0.7052379986154544,0.7184986035186556,0.6580664701248479,0.715266107278413,0.03295850235940261
0.47048368453979494,0.060151649694430494,0.0036622047424316405,0.003150348431015978,relu,10.0,"(106,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (106,), 'MLP__learning_rate_init': 0.064}",0.6769353799145402,0.6214998448354062,0.6871881788450981,0.7181614189205319,0.6458905254111862,0.6699350695853525,0.033456138435730004,2534,0.735274283258934,0.6071366761356856,0.6909479363109021,0.7054990928839131,0.6375862357069538,0.6752888448592776,0.04652380872074243
0.4581282615661621,0.14216084762816067,0.006824922561645508,0.0026290176931387643,relu,10.0,"(106,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (106,), 'MLP__learning_rate_init': 0.128}",0.6125957842973431,0.61887995034733,0.6613771454489031,0.7272862906113485,0.6191067293690768,0.6478491800148003,0.04336221174011915,2566,0.6573368981404121,0.6223234107564871,0.6829808312047934,0.7125486381322957,0.6003840323697215,0.655114762120742,0.040375317489205774
0.1579456329345703,0.013035409819923342,0.0036086559295654295,0.0007802015265395218,relu,10.0,"(53,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (53,), 'MLP__learning_rate_init': 1e-06}",0.5660046310663388,0.5797725048339738,0.577755365114225,0.5574765462748561,0.5520159461459502,0.5666049986870688,0.010901774427662731,2644,0.566771502231983,0.5494885536272707,0.574481988971378,0.5577197369363347,0.5719948795684037,0.564091332267074,0.009289278645768461
