param_SVM__max_iter,train acc,test acc
1,0.634375,0.5575
2,0.629375,0.57
4,0.629375,0.57
8,0.629375,0.57
16,0.629375,0.57
32,0.629375,0.57
64,0.629375,0.57
128,0.629375,0.57
256,0.629375,0.57
512,0.629375,0.57
1024,0.629375,0.57
2048,0.629375,0.57
