param_SVM__max_iter,train acc,test acc
1,0.814257239025089,0.815440795291678
2,0.8232663340574348,0.8148499679809714
4,0.8274724881239408,0.812162656664532
8,0.8274724881239408,0.812162656664532
16,0.8274724881239408,0.812162656664532
32,0.8274724881239408,0.812162656664532
64,0.8274724881239408,0.812162656664532
128,0.8274724881239408,0.812162656664532
256,0.8274724881239408,0.812162656664532
512,0.8274724881239408,0.812162656664532
1024,0.8274724881239408,0.812162656664532
2048,0.8274724881239408,0.812162656664532
