mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__base_estimator__max_depth,param_Boost__learning_rate,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.04849567413330078,0.00815743292065875,0.0026240825653076174,0.002963878425396847,1,0.01,1,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 1}",0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17,852,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.07887630462646485,0.006207169736903214,0.00446615219116211,0.005445624585086951,1,0.01,2,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 2}",0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17,852,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.15135698318481444,0.016551298903459872,0.004198503494262695,0.0007478346076200768,1,0.01,5,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 5}",0.7524826335012295,0.7711859349263565,0.7577940369053018,0.7532286171253969,0.765874531522284,0.7601131507961137,0.007304792174403872,712,0.7620207801198349,0.7573449547635531,0.7606929292688166,0.7618342842137928,0.7586728056145712,0.7601131507961137,0.001826198043600933
0.2482574462890625,0.021514503713696915,0.0048274993896484375,0.0019431725650364215,1,0.01,10,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 10}",0.7524826335012295,0.7711859349263565,0.7577940369053018,0.7532286171253969,0.765874531522284,0.7601131507961137,0.007304792174403872,712,0.7620207801198349,0.7573449547635531,0.7606929292688166,0.7618342842137928,0.7586728056145712,0.7601131507961137,0.001826198043600933
0.42415623664855956,0.010844788272387208,0.010973072052001953,0.0015591594434809692,1,0.01,20,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 20}",0.7524826335012295,0.7711859349263565,0.7577940369053018,0.7532286171253969,0.765874531522284,0.7601131507961137,0.007304792174403872,712,0.7620207801198349,0.7573449547635531,0.7606929292688166,0.7618342842137928,0.7586728056145712,0.7601131507961137,0.001826198043600933
0.6137578964233399,0.02225782192499995,0.011391162872314453,0.0027399946688802398,1,0.01,30,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 30}",0.7524826335012295,0.7711859349263565,0.7577940369053018,0.7532286171253969,0.765874531522284,0.7601131507961137,0.007304792174403872,712,0.7620207801198349,0.7573449547635531,0.7606929292688166,0.7618342842137928,0.7586728056145712,0.7601131507961137,0.001826198043600933
0.8856841087341308,0.029963057148783206,0.015196418762207032,0.004514594701972445,1,0.01,45,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 45}",0.7524826335012295,0.7711859349263565,0.7577940369053018,0.7532286171253969,0.765874531522284,0.7601131507961137,0.007304792174403872,712,0.7620207801198349,0.7573449547635531,0.7606929292688166,0.7618342842137928,0.7586728056145712,0.7601131507961137,0.001826198043600933
1.1922300338745118,0.031441089361896296,0.02128152847290039,0.004310883207307415,1,0.01,60,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 60}",0.7524826335012295,0.7711859349263565,0.7577940369053018,0.7532286171253969,0.765874531522284,0.7601131507961137,0.007304792174403872,712,0.7620207801198349,0.7573449547635531,0.7606929292688166,0.7618342842137928,0.7586728056145712,0.7601131507961137,0.001826198043600933
1.551170778274536,0.03032676104558441,0.02964935302734375,0.005350694479417575,1,0.01,80,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 80}",0.7524826335012295,0.7711859349263565,0.7577940369053018,0.7532286171253969,0.765874531522284,0.7601131507961137,0.007304792174403872,712,0.7620207801198349,0.7573449547635531,0.7606929292688166,0.7618342842137928,0.7586728056145712,0.7601131507961137,0.001826198043600933
1.758455181121826,0.041994954532430614,0.035990428924560544,0.006846082159300523,1,0.01,90,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 90}",0.7524826335012295,0.7711859349263565,0.7577940369053018,0.7532286171253969,0.765874531522284,0.7601131507961137,0.007304792174403872,712,0.7620207801198349,0.7573449547635531,0.7606929292688166,0.7618342842137928,0.7586728056145712,0.7601131507961137,0.001826198043600933
1.9639490127563477,0.10496569864828766,0.035310888290405275,0.004971530080666149,1,0.01,100,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 100}",0.7524826335012295,0.7711859349263565,0.7577940369053018,0.7532286171253969,0.765874531522284,0.7601131507961137,0.007304792174403872,712,0.7620207801198349,0.7573449547635531,0.7606929292688166,0.7618342842137928,0.7586728056145712,0.7601131507961137,0.001826198043600933
0.05302972793579101,0.00845485043829123,0.0030497074127197265,0.0037499724633582175,1,0.02,1,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.02, 'Boost__n_estimators': 1}",0.5,0.5,0.5000000000000001,0.5,0.5,0.5,4.965068306494546e-17,852,0.5,0.5,0.5,0.5,0.5,0.5,0.0
