param_SVM__max_iter,train acc,test acc
1,0.6495070540211502,0.6342931418290488
2,0.7614117590890646,0.7024479309608758
4,0.7524217612374974,0.6310645564602202
8,0.7812226969993554,0.7693638886347696
16,0.7102695089637392,0.7485248376177842
32,0.7755365114225012,0.7683690116793217
64,0.7846387052111433,0.7879273015582593
128,0.7689742426774249,0.7803380294575062
256,0.7886371774366808,0.7716166559936571
512,0.7793607218734334,0.7780738267313145
1024,0.7841791792986561,0.7862043728844569
2048,0.7841791792986561,0.7837533924923
