param_MLP__max_iter,train acc,test acc
1,0.54625,0.5675
2,0.6225,0.6175
4,0.6525,0.61
8,0.711875,0.6375
16,0.763125,0.655
32,0.80125,0.7
64,0.84125,0.7075
128,0.91875,0.7525
256,0.978125,0.77
512,0.99875,0.7575
1024,0.99875,0.7575
2048,0.99875,0.7575
2100,0.99875,0.7575
2200,0.99875,0.7575
2300,0.99875,0.7575
2400,0.99875,0.7575
2500,0.99875,0.7575
2600,0.99875,0.7575
2700,0.99875,0.7575
2800,0.99875,0.7575
2900,0.99875,0.7575
3000,0.99875,0.7575
