,0,1,2,3,4
10.0,0.5,0.565,0.5525,0.56875,0.5975
3.1622776601683795,0.69,0.645625,0.893125,0.5,0.72625
1.0,0.7825,0.758125,0.78375,0.7925,0.5875
0.31622776601683794,0.70125,0.72625,0.86625,0.784375,0.866875
0.1,0.77125,0.58,0.83375,0.691875,0.555625
0.03162277660168379,0.699375,0.5,0.9275,0.71125,0.840625
0.01,0.769375,0.5,0.868125,0.81,0.5
0.0031622776601683794,0.730625,0.5,0.5325,0.62125,0.5
0.001,0.550625,0.5,0.688125,0.7,0.533125
0.00031622776601683794,0.698125,0.54625,0.80625,0.610625,0.5
0.0001,0.561875,0.5,0.781875,0.83875,0.5
3.1622776601683795e-05,0.5625,0.5,0.638125,0.755625,0.5
1e-05,0.6825,0.5,0.825,0.571875,0.5
3.162277660168379e-06,0.555,0.5,0.843125,0.60125,0.5
1e-06,0.554375,0.5,0.91625,0.60125,0.5
3.162277660168379e-07,0.76875,0.5,0.91625,0.60125,0.5
1e-07,0.76875,0.5,0.91625,0.60125,0.5
3.162277660168379e-08,0.76875,0.5,0.91625,0.60125,0.5
1e-08,0.76875,0.5,0.91625,0.60125,0.5
3.1622776601683795e-09,0.76875,0.5,0.91625,0.60125,0.5
1e-09,0.76875,0.5,0.91625,0.60125,0.5
