param_SVM__max_iter,train acc,test acc
1,0.7058306080064931,0.7069382185222456
2,0.7088968990952711,0.7154232610618119
4,0.6849442601036023,0.6768174610435154
8,0.66517032298107,0.6920341231360351
16,0.677601394094197,0.6974582990272314
32,0.6783330548327804,0.6817880340316531
64,0.6901649518989759,0.6747209770377824
128,0.6893282566661096,0.659119324246028
256,0.6988231362345134,0.6926363858140456
512,0.8262072998973526,0.7749443478791205
1024,0.7807094602659284,0.7392812490470527
2048,0.7790933613425319,0.7392812490470527
