param_MLP__max_iter,train acc,test acc
1,0.7113747583013059,0.7218499374866586
2,0.7153171325583062,0.728936053426036
4,0.7428803322909456,0.7625903394017015
8,0.7692010216991717,0.7734081968712834
16,0.8015074837077176,0.7660552556948129
32,0.8275142632068941,0.7676104656481565
64,0.871058222529899,0.7660552556948129
128,0.9179835764245303,0.7443509285518249
256,0.9244181327731494,0.7368798219132131
512,0.9244181327731494,0.7368798219132131
1024,0.9244181327731494,0.7368798219132131
2048,0.9244181327731494,0.7368798219132131
2100,0.9244181327731494,0.7368798219132131
2200,0.9244181327731494,0.7368798219132131
2300,0.9244181327731494,0.7368798219132131
2400,0.9244181327731494,0.7368798219132131
2500,0.9244181327731494,0.7368798219132131
2600,0.9244181327731494,0.7368798219132131
2700,0.9244181327731494,0.7368798219132131
2800,0.9244181327731494,0.7368798219132131
2900,0.9244181327731494,0.7368798219132131
3000,0.9244181327731494,0.7368798219132131
