,train,test
0.1,0.07896766000000002,0.20761120000000002
0.2,0.11679103999999989,0.17885432000000012
0.3,0.17629981999999983,0.19591725999999995
0.4,0.20724866000000014,0.18310014
0.5,0.2523883400000001,0.17215963999999992
0.6,0.29020387999999964,0.15667861999999994
0.7,0.3547400399999997,0.1471399399999999
0.8,0.4153646200000001,0.1411402600000006
0.9,0.4528196599999994,0.13249984000000053
