param_Boost__n_estimators,train acc,test acc
1,0.8505550118163807,0.7763813923703229
2,0.8505550118163807,0.7763813923703229
5,0.9323183977465327,0.7888230719970725
10,0.9618712850015517,0.7808106913060714
20,0.9618712850015517,0.7808106913060714
30,0.9618712850015517,0.7808106913060714
40,0.9618712850015517,0.7808106913060714
50,0.9618712850015517,0.7808106913060714
60,0.9618712850015517,0.7808106913060714
70,0.9618712850015517,0.7808106913060714
80,0.9618712850015517,0.7808106913060714
90,0.9618712850015517,0.7808106913060714
100,0.9618712850015517,0.7808106913060714
