,train,test
0.1,0.08188084,0.04629551999999998
0.2,0.10569392000000002,0.021280780000000044
0.3,0.14348985999999994,0.018613640000000053
0.4,0.18913152000000003,0.017881880000000107
0.5,0.2428537200000001,0.015147339999999777
0.6,0.2903661399999999,0.010072819999999894
0.7,0.3315574599999998,0.008172679999999665
0.8,0.3730028799999999,0.006043179999999993
0.9,0.4315433600000006,0.0035389400000003235
