param_SVM__max_iter,train acc,test acc
1,0.491875,0.505
2,0.49625,0.4875
4,0.496875,0.5175
8,0.4975,0.5075
16,0.526875,0.4925
32,0.54625,0.4925
64,0.574375,0.5125
128,0.640625,0.53
256,0.76125,0.5275
512,0.990625,0.5675
1024,0.884375,0.6175
2048,0.884375,0.6175
