mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.30023512840271,0.14774671738144138,0.02099752426147461,0.003681346529573611,relu,10.0,"(250,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate_init': 0.016}",0.58125,0.54375,0.590625,0.584375,0.56875,0.57375,0.016606662819483038,97,0.771875,0.796875,0.77421875,0.8078125,0.74765625,0.7796874999999999,0.020992232566475637
1.7792051792144776,0.4564548124839422,0.017598962783813475,0.003383007908430278,relu,10.0,"(250,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate_init': 0.032}",0.53125,0.5625,0.6,0.625,0.634375,0.590625,0.03872983346207417,5,0.684375,0.83359375,0.834375,0.84375,0.8078125,0.80078125,0.05941610419322359
0.9940835952758789,0.19020065660991817,0.020601987838745117,0.002061066295614874,relu,10.0,"(250,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate_init': 0.064}",0.546875,0.525,0.5125,0.559375,0.596875,0.548125,0.029355046414543465,1586,0.66171875,0.74453125,0.66484375,0.6765625,0.659375,0.68140625,0.032110800607038734
1.6375529766082764,0.3819163050925736,0.0351956844329834,0.01730433004638937,relu,10.0,"(250,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate_init': 0.128}",0.575,0.51875,0.571875,0.540625,0.534375,0.548125,0.021883926750014472,1586,0.69296875,0.7328125,0.71875,0.73125,0.6265625,0.70046875,0.039613612322659975
3.8258450031280518,0.7089955936301584,0.04670481681823731,0.004000700660599017,relu,10.0,"(1000,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1000,), 'MLP__learning_rate_init': 1e-06}",0.509375,0.509375,0.478125,0.5,0.484375,0.49625,0.012869537676233753,3282,0.49453125,0.48984375,0.50078125,0.49453125,0.496875,0.4953125,0.0035630482034347886
4.7005078315734865,0.9164713435221533,0.06541590690612793,0.01914274924614191,relu,10.0,"(1000,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1000,), 'MLP__learning_rate_init': 0.001}",0.60625,0.534375,0.6125,0.584375,0.5875,0.585,0.027485791784120008,13,0.83359375,0.83203125,0.83125,0.70625,0.93046875,0.8267187500000001,0.07123594982082429
4.251100015640259,0.4497852481529526,0.05819921493530274,0.019073282698736403,relu,10.0,"(1000,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1000,), 'MLP__learning_rate_init': 0.002}",0.625,0.5,0.609375,0.584375,0.59375,0.5825,0.043508260709892776,19,0.80625,0.9046875,0.90234375,0.803125,0.90078125,0.8634375000000001,0.047995462838949676
4.1951696395874025,0.8046396893926723,0.056507539749145505,0.013197465656814986,relu,10.0,"(1000,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1000,), 'MLP__learning_rate_init': 0.004}",0.6,0.5375,0.596875,0.5625,0.609375,0.58125,0.027027185388049574,25,0.840625,0.83828125,0.84375,0.85,0.83984375,0.8425,0.004151665704870758
5.616647100448608,1.3017494212042846,0.049860906600952146,0.005421795552125079,relu,10.0,"(1000,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1000,), 'MLP__learning_rate_init': 0.008}",0.565625,0.53125,0.56875,0.575,0.59375,0.566875,0.020310096011589895,373,0.75,0.83125,0.834375,0.8421875,0.796875,0.8109375,0.03420412073128032
8.167731714248657,1.6462562883177145,0.06479806900024414,0.016589568596885786,relu,10.0,"(1000,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1000,), 'MLP__learning_rate_init': 0.016}",0.6125,0.55625,0.60625,0.546875,0.615625,0.5875,0.02964635306407855,7,0.846875,0.8203125,0.83984375,0.8046875,0.85546875,0.8334374999999999,0.018470574148493606
10.487372970581054,3.1312819883827525,0.04880094528198242,0.011738276620101691,relu,10.0,"(1000,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1000,), 'MLP__learning_rate_init': 0.032}",0.60625,0.55,0.59375,0.571875,0.578125,0.58,0.019223195624037095,29,0.84140625,0.80078125,0.8,0.815625,0.73125,0.7978125,0.03650168553471198
7.280428695678711,2.5063556367090407,0.058110284805297854,0.028329131197499243,relu,10.0,"(1000,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1000,), 'MLP__learning_rate_init': 0.064}",0.5875,0.575,0.60625,0.55625,0.56875,0.57875,0.017047727121232304,35,0.7203125,0.696875,0.74453125,0.70859375,0.68984375,0.71203125,0.019280262332888518
4.60141282081604,0.2767960312565416,0.04400224685668945,0.013890913104100256,relu,10.0,"(1000,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (1000,), 'MLP__learning_rate_init': 0.128}",0.55,0.5625,0.575,0.54375,0.53125,0.5525,0.015103807466993205,1347,0.59609375,0.64296875,0.6609375,0.65859375,0.58125,0.62796875,0.03301056294014082
5.747016382217407,2.3051855517428743,0.06300210952758789,0.010695009529378801,relu,10.0,"(500, 500)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate_init': 1e-06}",0.478125,0.48125,0.490625,0.496875,0.51875,0.493125,0.014442775010364188,3334,0.49921875,0.496875,0.496875,0.496875,0.4890625,0.49578125,0.0034798527267687596
7.647189903259277,1.5275861099124066,0.06119933128356934,0.01036289402801354,relu,10.0,"(500, 500)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate_init': 0.001}",0.546875,0.540625,0.596875,0.559375,0.61875,0.5725,0.030259296092275522,150,0.8359375,0.88671875,0.9296875,0.8578125,0.8828125,0.87859375,0.03145091662018772
6.007161951065063,1.1832201057413818,0.052598762512207034,0.008355181113684017,relu,10.0,"(500, 500)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate_init': 0.002}",0.553125,0.55625,0.609375,0.565625,0.59375,0.575625,0.02213241401203221,76,0.76640625,0.90859375,0.86484375,0.86875,0.90703125,0.8631249999999999,0.051738336547960256
7.056864643096924,0.98723497138722,0.057599639892578124,0.014068358663011565,relu,10.0,"(500, 500)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate_init': 0.004}",0.590625,0.515625,0.6,0.56875,0.603125,0.575625,0.03231920868461974,76,0.74609375,0.84765625,0.853125,0.8078125,0.7203125,0.795,0.05345166113531927
8.59168300628662,2.1297705069114325,0.06030030250549316,0.00848202043570135,relu,10.0,"(500, 500)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate_init': 0.008}",0.571875,0.55,0.553125,0.578125,0.584375,0.5675,0.013635890143294633,337,0.71953125,0.80546875,0.7625,0.709375,0.90390625,0.7801562499999999,0.07064262777795714
8.125389909744262,0.893214567291649,0.06240324974060059,0.019157449142890325,relu,10.0,"(500, 500)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500, 500), 'MLP__learning_rate_init': 0.016}",0.59375,0.559375,0.575,0.584375,0.615625,0.585625,0.018812396179115527,9,0.8609375,0.8359375,0.79375,0.7515625,0.76796875,0.80203125,0.04097684178289002
