mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.041373062133789065,0.004796272396012602,0.0035985469818115234,0.0013569652911550741,1,{'SVM__max_iter': 1},0.7658804993912773,0.8302976773053878,0.7904203766918908,0.8112184001336803,0.7916915327874723,0.7979016972619417,0.0216643832669827,12,0.8108841994700533,0.8092549712348716,0.808544794824664,0.8084895920364755,0.8198419708290564,0.8114031056790243,0.00430712648873381
0.05648198127746582,0.002003831351905722,0.0028539657592773437,0.00029320133310126384,2,{'SVM__max_iter': 2},0.7665548685875248,0.8227423551598195,0.7994736339547873,0.8155570408918382,0.7916199183595521,0.7991895633907042,0.019723244392082794,11,0.8265588073810605,0.8181038289847461,0.8218635864505501,0.8236405194433172,0.8295322981069919,0.8239398080733331,0.003913924475097668
0.1144587516784668,0.015954481364609373,0.003218936920166016,0.002747316441928092,4,{'SVM__max_iter': 4},0.7720930510133441,0.8151870330142512,0.8059845790265212,0.8282029552887255,0.8105499988064262,0.8064035234298538,0.018691937084713638,1,0.8343976033038122,0.8262977131126017,0.8292905994127616,0.8268213936167673,0.8290847079324916,0.8291784034756869,0.002867587350789155
0.10619525909423828,0.008848089945880377,0.005199575424194336,0.0029233061617335554,8,{'SVM__max_iter': 8},0.7720930510133441,0.8151870330142512,0.8059845790265212,0.8282029552887255,0.8105499988064262,0.8064035234298538,0.018691937084713638,1,0.8343976033038122,0.8262977131126017,0.8292905994127616,0.8268213936167673,0.8290847079324916,0.8291784034756869,0.002867587350789155
0.12197022438049317,0.010204705099874022,0.006399917602539063,0.006799793681450207,16,{'SVM__max_iter': 16},0.7720930510133441,0.8151870330142512,0.8059845790265212,0.8282029552887255,0.8105499988064262,0.8064035234298538,0.018691937084713638,1,0.8343976033038122,0.8262977131126017,0.8292905994127616,0.8268213936167673,0.8290847079324916,0.8291784034756869,0.002867587350789155
0.1157996654510498,0.013302838867239618,0.003401327133178711,0.0004897475438477437,32,{'SVM__max_iter': 32},0.7720930510133441,0.8151870330142512,0.8059845790265212,0.8282029552887255,0.8105499988064262,0.8064035234298538,0.018691937084713638,1,0.8343976033038122,0.8262977131126017,0.8292905994127616,0.8268213936167673,0.8290847079324916,0.8291784034756869,0.002867587350789155
0.12500324249267578,0.01609050747893803,0.003600025177001953,0.0008021264846175409,64,{'SVM__max_iter': 64},0.7720930510133441,0.8151870330142512,0.8059845790265212,0.8282029552887255,0.8105499988064262,0.8064035234298538,0.018691937084713638,1,0.8343976033038122,0.8262977131126017,0.8292905994127616,0.8268213936167673,0.8290847079324916,0.8291784034756869,0.002867587350789155
0.11800260543823242,0.021050783301529156,0.0038002967834472657,0.0011680060596908712,128,{'SVM__max_iter': 128},0.7720930510133441,0.8151870330142512,0.8059845790265212,0.8282029552887255,0.8105499988064262,0.8064035234298538,0.018691937084713638,1,0.8343976033038122,0.8262977131126017,0.8292905994127616,0.8268213936167673,0.8290847079324916,0.8291784034756869,0.002867587350789155
0.1152005672454834,0.013287966594768425,0.004600143432617188,0.001855184375819199,256,{'SVM__max_iter': 256},0.7720930510133441,0.8151870330142512,0.8059845790265212,0.8282029552887255,0.8105499988064262,0.8064035234298538,0.018691937084713638,1,0.8343976033038122,0.8262977131126017,0.8292905994127616,0.8268213936167673,0.8290847079324916,0.8291784034756869,0.002867587350789155
0.12780442237854003,0.023112525795964966,0.004197597503662109,0.000978404165130541,512,{'SVM__max_iter': 512},0.7720930510133441,0.8151870330142512,0.8059845790265212,0.8282029552887255,0.8105499988064262,0.8064035234298538,0.018691937084713638,1,0.8343976033038122,0.8262977131126017,0.8292905994127616,0.8268213936167673,0.8290847079324916,0.8291784034756869,0.002867587350789155
0.13179988861083985,0.015116864542536973,0.004001522064208984,0.0008959148135676288,1024,{'SVM__max_iter': 1024},0.7720930510133441,0.8151870330142512,0.8059845790265212,0.8282029552887255,0.8105499988064262,0.8064035234298538,0.018691937084713638,1,0.8343976033038122,0.8262977131126017,0.8292905994127616,0.8268213936167673,0.8290847079324916,0.8291784034756869,0.002867587350789155
0.09279508590698242,0.009473245336177034,0.0019980907440185548,2.1034951210129527e-06,2048,{'SVM__max_iter': 2048},0.7720930510133441,0.8151870330142512,0.8059845790265212,0.8282029552887255,0.8105499988064262,0.8064035234298538,0.018691937084713638,1,0.8343976033038122,0.8262977131126017,0.8292905994127616,0.8268213936167673,0.8290847079324916,0.8291784034756869,0.002867587350789155
