,0,1,2,3,4
10.0,0.63375,0.590625,0.625625,0.5,0.616875
3.1622776601683795,0.664375,0.774375,0.760625,0.798125,0.63375
1.0,0.789375,0.806875,0.805625,0.828125,0.81
0.31622776601683794,0.84125,0.845625,0.84125,0.8375,0.860625
0.1,0.914375,0.861875,0.90375,0.858125,0.8125
0.03162277660168379,0.92,0.870625,0.9275,0.939375,0.915625
0.01,0.83375,0.90125,0.905625,0.873125,0.898125
0.0031622776601683794,0.841875,0.9,0.89625,0.925625,0.890625
0.001,0.84875,0.885625,0.89,0.8675,0.881875
0.00031622776601683794,0.881875,0.8275,0.923125,0.881875,0.844375
0.0001,0.871875,0.82,0.89875,0.844375,0.8575
3.1622776601683795e-05,0.838125,0.820625,0.884375,0.85625,0.864375
1e-05,0.83625,0.871875,0.91125,0.865625,0.851875
3.162277660168379e-06,0.87125,0.806875,0.898125,0.899375,0.8325
1e-06,0.880625,0.78625,0.914375,0.918125,0.881875
3.162277660168379e-07,0.868125,0.886875,0.900625,0.833125,0.905625
1e-07,0.860625,0.888125,0.920625,0.87,0.9025
3.162277660168379e-08,0.853125,0.851875,0.93,0.86625,0.905625
1e-08,0.875625,0.831875,0.91375,0.87625,0.864375
3.1622776601683795e-09,0.868125,0.82875,0.9175,0.846875,0.886875
1e-09,0.868125,0.835625,0.920625,0.84625,0.898125
