param_SVM__max_iter,train acc,test acc
1,0.67625,0.52
2,0.696875,0.545
4,0.669375,0.5425
8,0.683125,0.535
16,0.676875,0.58
32,0.683125,0.55
64,0.6725,0.535
128,0.684375,0.55
256,0.703125,0.5225
512,0.71875,0.555
1024,0.751875,0.53
2048,0.765,0.5475
