mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.13594274520874022,0.016115820689226266,0.006002092361450195,0.0006329520991233105,1,{'MLP__max_iter': 1},0.67071686042348,0.6868062352295243,0.6941347783533457,0.69196247403977,0.6820916187247859,0.6851423933541813,0.008337242763544694,21,0.7021391826406628,0.6676911508438567,0.6991656919147311,0.6881296101787974,0.6891053567592085,0.6892461984674513,0.012087283193421764
0.15838179588317872,0.006343749710738313,0.005800485610961914,0.0007483923271824555,2,{'MLP__max_iter': 2},0.6827719557900266,0.6561373564727507,0.6738678952519634,0.7045427418777304,0.6835955217111074,0.6801830942207158,0.015683230161130535,22,0.7062271729011005,0.6655471939079993,0.7038698646487314,0.7033461841445657,0.6918998114153398,0.6941780454035473,0.015153109312436974
0.2702139377593994,0.008964896534306627,0.006072473526000976,0.0009137221684395006,4,{'MLP__max_iter': 4},0.683744718435941,0.7156907211572892,0.6898796877610943,0.7258659377909337,0.7325260795875009,0.7095414289465518,0.019414694890221653,20,0.7338912296197274,0.7248200687498509,0.7301508677281516,0.7328811677926047,0.7272325797904085,0.7297951827361486,0.0033984145918016817
0.47785487174987795,0.019908637187816745,0.005836772918701172,0.0025948426466466563,8,{'MLP__max_iter': 8},0.6981093791029099,0.732299300565754,0.7275130696330955,0.7453928051371417,0.7604318350003582,0.7327492778878518,0.02075440046784927,19,0.7684750304361319,0.7589174882432981,0.7688868133966723,0.767353071065384,0.7622654627485619,0.7651795731780097,0.00392513716881229
0.9095202445983886,0.009005107886627709,0.004632997512817383,0.003586879856313655,16,{'MLP__max_iter': 16},0.7218256904824425,0.7700818791625887,0.7460671743333891,0.7660416318540976,0.7778639803299038,0.7563760712324844,0.020213879567143916,1,0.8099233725621257,0.7987574896755867,0.805453438686114,0.7986082929507532,0.8024799479601825,0.8030445083669525,0.00427782614957988
1.7095258235931396,0.019970137923973192,0.005327415466308594,0.003658935192592841,32,{'MLP__max_iter': 32},0.7105285144780502,0.7649196724833496,0.7541476689503712,0.7682855505955932,0.7799587023465662,0.7555680217707861,0.02397777649706575,2,0.8424512425103244,0.8259918598266932,0.8324446181757418,0.8305930868205582,0.8347452316726744,0.8332452078011985,0.005427465208810288
3.3621541023254395,0.02402310142185319,0.007857131958007812,0.0020829996676983396,64,{'MLP__max_iter': 64},0.7108269079277173,0.7558664152204532,0.747189133704137,0.7826502112625624,0.781080661717314,0.7555226659664368,0.02629217210793887,3,0.8759697787114178,0.8654021746914612,0.8738377575135471,0.8668613186603328,0.8883516149053498,0.8740845288964216,0.008181966106280743
6.446300411224366,0.3410633577249151,0.006450557708740234,0.00392102822499943,128,{'MLP__max_iter': 128},0.6959370747893343,0.752124561361629,0.7256391587691868,0.7836229739084768,0.7674619846745125,0.7449571507006278,0.0310774447686047,18,0.92063629419207,0.912649793511733,0.9220014442242963,0.9141462366618128,0.9315962855983386,0.9202060108376502,0.006737423354274042
8.217306661605836,1.3140962474043225,0.007706212997436524,0.002974321693276709,256,{'MLP__max_iter': 256},0.7088038003389749,0.7640185242653552,0.7390310567902414,0.787436442195221,0.7674619846745125,0.753350361652861,0.027071191703405047,4,0.9473827910529709,0.9429307607839393,0.9410046310663387,0.9401064667828413,0.9315962855983386,0.9406041870568858,0.005155827518564872
8.25073709487915,1.2907434505913469,0.002475118637084961,0.003915229600717671,512,{'MLP__max_iter': 512},0.7088038003389749,0.7640185242653552,0.7390310567902414,0.787436442195221,0.7674619846745125,0.753350361652861,0.027071191703405047,4,0.9473827910529709,0.9429307607839393,0.9410046310663387,0.9401064667828413,0.9315962855983386,0.9406041870568858,0.005155827518564872
8.312663793563843,1.2800837020247837,0.006574153900146484,0.0030355890476438355,1024,{'MLP__max_iter': 1024},0.7088038003389749,0.7640185242653552,0.7390310567902414,0.787436442195221,0.7674619846745125,0.753350361652861,0.027071191703405047,4,0.9473827910529709,0.9429307607839393,0.9410046310663387,0.9401064667828413,0.9315962855983386,0.9406041870568858,0.005155827518564872
8.26264247894287,1.3180213865105765,0.002843618392944336,0.003755374331730632,2048,{'MLP__max_iter': 2048},0.7088038003389749,0.7640185242653552,0.7390310567902414,0.787436442195221,0.7674619846745125,0.753350361652861,0.027071191703405047,4,0.9473827910529709,0.9429307607839393,0.9410046310663387,0.9401064667828413,0.9315962855983386,0.9406041870568858,0.005155827518564872
8.165246677398681,1.253843229564658,0.006073379516601562,0.0033567053869013397,2100,{'MLP__max_iter': 2100},0.7088038003389749,0.7640185242653552,0.7390310567902414,0.787436442195221,0.7674619846745125,0.753350361652861,0.027071191703405047,4,0.9473827910529709,0.9429307607839393,0.9410046310663387,0.9401064667828413,0.9315962855983386,0.9406041870568858,0.005155827518564872
8.211234378814698,1.264809541751281,0.006665086746215821,0.003826983534227035,2200,{'MLP__max_iter': 2200},0.7088038003389749,0.7640185242653552,0.7390310567902414,0.787436442195221,0.7674619846745125,0.753350361652861,0.027071191703405047,4,0.9473827910529709,0.9429307607839393,0.9410046310663387,0.9401064667828413,0.9315962855983386,0.9406041870568858,0.005155827518564872
