,0,1,2,3,4
135,0.5000000000000002,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
142,0.5,0.5,0.5,0.5,0.5
148,0.5000000000000001,0.5,0.5,0.5,0.5
155,0.5,0.5,0.5,0.5,0.5
162,0.5,0.5,0.5,0.5,0.5
169,0.4999999999999999,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002
176,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
182,0.5000000000000001,0.5,0.5,0.5,0.5
189,0.5,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
196,0.49999999999999983,0.5000000000000003,0.5000000000000003,0.5000000000000003,0.5000000000000003
203,0.5,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
209,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
216,0.5000000000000002,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
223,0.5000000000000001,0.5000000000000002,0.5000000000000002,0.5000000000000002,0.5000000000000002
230,0.4999999999999999,0.4999999999999998,0.4999999999999998,0.4999999999999998,0.4999999999999998
236,0.4999999999999998,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
243,0.5000000000000001,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
250,0.49999999999999994,0.5,0.5,0.5,0.5
257,0.5000000000000001,0.5,0.5,0.5,0.5
264,0.5,0.5,0.5,0.5,0.5
270,0.4999999999999999,0.5,0.5,0.5,0.5
399,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
527,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
655,0.5000000000000002,0.49999999999999983,0.49999999999999983,0.49999999999999983,0.49999999999999983
783,0.49999999999999983,0.49999999999999983,0.5000000000000001,0.5000000000000001,0.5000000000000001
912,0.5,0.5000000000000001,0.4999999999999998,0.4999999999999998,0.4999999999999998
1040,0.5,0.5,0.5,0.5,0.5
1168,0.5,0.5000000000000001,0.5,0.5,0.5
1296,0.5000000000000002,0.5000000000000001,0.4999999999999999,0.4999999999999999,0.4999999999999999
1425,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999983,0.49999999999999983
1553,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.5,0.5
1681,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5000000000000001,0.5000000000000001
1810,0.4999999999999999,0.49999999999999994,0.4999999999999999,0.5000000000000001,0.5000000000000001
1938,0.5000000000000001,0.5000000000000001,0.5,0.5,0.5
2066,0.5,0.5,0.5,0.5,0.5000000000000002
2194,0.5,0.5,0.5,0.5,0.5000000000000001
2323,0.5,0.5,0.5,0.5,0.5
2451,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.4999999999999999
2579,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5
2708,0.5,0.5,0.5,0.5,0.5
