mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.6609205722808837,0.08933199841148232,0.1670055389404297,0.01665589705734841,manhattan,43,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 43, 'KNN__weights': 'uniform'}",0.78125,0.775,0.73125,0.821875,0.815625,0.785,0.03256004069407779,15,0.8171875,0.82109375,0.81796875,0.84296875,0.825,0.82484375,0.009470864037932361
0.5668769359588623,0.02008399367321049,0.14799284934997559,0.013444108622770125,manhattan,46,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 46, 'KNN__weights': 'uniform'}",0.771875,0.771875,0.71875,0.81875,0.803125,0.776875,0.03426687540468199,17,0.8140625,0.81953125,0.80546875,0.8296875,0.815625,0.8168750000000001,0.00788404738221431
0.6113039970397949,0.07216845291513098,0.15145211219787597,0.01653126953957994,manhattan,49,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 49, 'KNN__weights': 'uniform'}",0.790625,0.784375,0.725,0.8125,0.8,0.7825,0.03027220259578085,16,0.8046875,0.8125,0.8015625,0.83203125,0.81640625,0.8134375,0.010705120708100408
0.5819368362426758,0.025139714949081456,0.15233449935913085,0.01521384470019449,euclidean,1,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.7,0.703125,0.709375,0.7375,0.715625,0.713125,0.013317047345414097,34,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.5837583065032959,0.03217292201194517,0.14070405960083007,0.016791154926388635,euclidean,4,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.725,0.74375,0.74375,0.803125,0.746875,0.7525,0.026472273230684205,30,0.84375,0.8359375,0.84140625,0.87578125,0.8609375,0.8515625,0.014715730847463864
0.5544062614440918,0.010436175892004238,0.14569573402404784,0.015573762949007745,euclidean,7,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.753125,0.753125,0.765625,0.8,0.746875,0.76375,0.019121323175972958,27,0.85546875,0.8359375,0.85,0.865625,0.859375,0.85328125,0.01005842308714442
0.6042476177215577,0.04082545671091472,0.17585577964782714,0.014116378303279671,euclidean,10,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.740625,0.803125,0.740625,0.803125,0.75625,0.76875,0.028641098093474,21,0.8359375,0.82265625,0.82265625,0.85390625,0.81796875,0.8306250000000001,0.013095204274848097
0.6741210460662842,0.12221643392006354,0.16762285232543944,0.019887478658716592,euclidean,13,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.753125,0.778125,0.7375,0.81875,0.771875,0.771875,0.027457353295610967,20,0.82734375,0.815625,0.83125,0.8484375,0.8265625,0.82984375,0.010647953148375487
0.5653396606445312,0.026380362608434547,0.16113319396972656,0.021922025277424553,euclidean,16,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.76875,0.78125,0.734375,0.825,0.7625,0.774375,0.029606798205817512,18,0.8078125,0.8171875,0.80859375,0.84609375,0.8234375,0.820625,0.013980664661417199
0.6715066432952881,0.08487054478952005,0.1983159065246582,0.031113304321935566,euclidean,19,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.78125,0.778125,0.71875,0.80625,0.784375,0.77375,0.029221674318902408,19,0.81015625,0.81484375,0.8109375,0.84140625,0.82265625,0.82,0.011583595620531658
0.6240181446075439,0.030926339116792215,0.15880494117736815,0.021455628707545707,euclidean,22,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.75,0.8,0.721875,0.8125,0.759375,0.76875,0.03324859019567596,21,0.8109375,0.81171875,0.79765625,0.83359375,0.81171875,0.813125,0.011549824132860225
0.7307858467102051,0.07090382655403318,0.21449904441833495,0.0519333629848334,euclidean,25,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.771875,0.76875,0.71875,0.790625,0.78125,0.76625,0.024953080972096416,24,0.80859375,0.803125,0.8,0.828125,0.80625,0.8092187500000001,0.009887057512222727
0.6172797203063964,0.019766916159214932,0.1595104694366455,0.007966699505973252,euclidean,28,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",0.771875,0.76875,0.71875,0.809375,0.771875,0.768125,0.02887202365612773,23,0.80078125,0.8078125,0.79140625,0.81875,0.8015625,0.8040625,0.009022000020782538
0.6728450775146484,0.08675766773666337,0.1780843734741211,0.057439127340847634,euclidean,31,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.76875,0.771875,0.703125,0.8125,0.775,0.76625,0.03532217787736198,24,0.809375,0.80546875,0.79296875,0.8203125,0.8046875,0.8065625000000001,0.008791753060396998
0.6441513538360596,0.07288231297253854,0.1519221305847168,0.026010241331705337,euclidean,34,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 34, 'KNN__weights': 'uniform'}",0.7625,0.746875,0.696875,0.809375,0.771875,0.7575,0.036635877224382093,28,0.7984375,0.80625,0.78203125,0.815625,0.79609375,0.7996874999999999,0.01116504380309368
0.6167593002319336,0.06263000474335037,0.16627035140991211,0.010821321858597984,euclidean,37,uniform,"{'KNN__metric': 'euclidean', 'KNN__n_neighbors': 37, 'KNN__weights': 'uniform'}",0.784375,0.74375,0.70625,0.8125,0.775,0.764375,0.03642200571083365,26,0.803125,0.80234375,0.778125,0.80625,0.80234375,0.7984375,0.01025790472635618
