param_SVM__max_iter,train acc,test acc
1,0.491875,0.505
2,0.518125,0.505
4,0.493125,0.51
8,0.51375,0.505
16,0.52125,0.4925
32,0.5575,0.5225
64,0.586875,0.5225
128,0.626875,0.5525
256,0.771875,0.54
512,0.979375,0.5625
1024,0.98,0.63
2048,0.98,0.63
