param_MLP__max_iter,train acc,test acc
1,0.5,0.5
2,0.626875,0.5725
4,0.67625,0.6575
8,0.79125,0.7225
16,0.79125,0.7225
32,0.79125,0.7225
64,0.79125,0.7225
128,0.79125,0.7225
256,0.79125,0.7225
512,0.79125,0.7225
1024,0.79125,0.7225
2048,0.79125,0.7225
2100,0.79125,0.7225
2200,0.79125,0.7225
2300,0.79125,0.7225
2400,0.79125,0.7225
2500,0.79125,0.7225
2600,0.79125,0.7225
2700,0.79125,0.7225
2800,0.79125,0.7225
2900,0.79125,0.7225
3000,0.79125,0.7225
