,0,1,2,3,4
1,0.635625,0.615625,0.61875,0.62,0.6225
2,0.635625,0.65,0.6425,0.6525,0.6225
3,0.716875,0.716875,0.71625,0.72125,0.715
4,0.77625,0.766875,0.76625,0.794375,0.78125
5,0.813125,0.83125,0.82,0.82625,0.82375
6,0.831875,0.84875,0.825625,0.8375,0.8525
7,0.833125,0.856875,0.836875,0.87125,0.854375
8,0.86125,0.86125,0.873125,0.871875,0.876875
9,0.873125,0.860625,0.89875,0.881875,0.880625
10,0.881875,0.86875,0.89125,0.885625,0.883125
11,0.868125,0.86,0.89875,0.8825,0.8775
12,0.890625,0.8725,0.8975,0.88625,0.875
13,0.888125,0.875,0.8975,0.88625,0.875
14,0.8725,0.875,0.8975,0.88625,0.875
15,0.8725,0.875,0.8975,0.88625,0.875
16,0.885625,0.875,0.8975,0.88625,0.875
17,0.885625,0.875,0.8975,0.88625,0.875
18,0.885625,0.875,0.8975,0.88625,0.875
19,0.885625,0.875,0.8975,0.88625,0.875
20,0.885625,0.875,0.8975,0.88625,0.875
21,0.885625,0.875,0.8975,0.88625,0.875
22,0.885625,0.875,0.8975,0.88625,0.875
23,0.885625,0.875,0.8975,0.88625,0.875
24,0.885625,0.875,0.8975,0.88625,0.875
25,0.885625,0.875,0.8975,0.88625,0.875
26,0.885625,0.875,0.8975,0.88625,0.875
27,0.885625,0.875,0.8975,0.88625,0.875
28,0.885625,0.875,0.8975,0.88625,0.875
29,0.885625,0.875,0.8975,0.88625,0.875
30,0.885625,0.875,0.8975,0.88625,0.875
31,0.885625,0.875,0.8975,0.88625,0.875
32,0.885625,0.875,0.8975,0.88625,0.875
33,0.885625,0.875,0.8975,0.88625,0.875
34,0.885625,0.875,0.8975,0.88625,0.875
35,0.885625,0.875,0.8975,0.88625,0.875
36,0.885625,0.875,0.8975,0.88625,0.875
37,0.885625,0.875,0.8975,0.88625,0.875
38,0.885625,0.875,0.8975,0.88625,0.875
39,0.885625,0.875,0.8975,0.88625,0.875
40,0.885625,0.875,0.8975,0.88625,0.875
41,0.885625,0.875,0.8975,0.88625,0.875
42,0.885625,0.875,0.8975,0.88625,0.875
43,0.885625,0.875,0.8975,0.88625,0.875
44,0.885625,0.875,0.8975,0.88625,0.875
45,0.885625,0.875,0.8975,0.88625,0.875
46,0.885625,0.875,0.8975,0.88625,0.875
47,0.885625,0.875,0.8975,0.88625,0.875
48,0.885625,0.875,0.8975,0.88625,0.875
49,0.885625,0.875,0.8975,0.88625,0.875
50,0.885625,0.875,0.8975,0.88625,0.875
