,train,test
0.1,0.013713420000000004,0.006694939999999998
0.2,0.0283483,0.006512539999999995
0.3,0.03570703999999999,0.005096719999999988
0.4,0.052192520000000006,0.004440099999999991
0.5,0.05984112000000004,0.003370200000000034
0.6,0.07556909999999997,0.002865680000000026
0.7,0.08345086000000004,0.002126920000000032
0.8,0.10982561999999989,0.0010829800000000667
0.9,0.1143197999999999,0.0004611599999999605
