param_MLP__max_iter,train acc,test acc
1,0.5,0.4999999999999999
2,0.7723711537084339,0.7867952001951636
4,0.7734501444224298,0.7630630012502668
8,0.8247129455014204,0.7996409294666544
16,0.8327075028048986,0.7422048912877746
32,0.8982776730085223,0.7350882810355868
64,0.937091499367406,0.7537317415302047
128,0.937091499367406,0.7537317415302047
256,0.937091499367406,0.7537317415302047
512,0.937091499367406,0.7537317415302047
1024,0.937091499367406,0.7537317415302047
2048,0.937091499367406,0.7537317415302047
2100,0.937091499367406,0.7537317415302047
2200,0.937091499367406,0.7537317415302047
2300,0.937091499367406,0.7537317415302047
2400,0.937091499367406,0.7537317415302047
2500,0.937091499367406,0.7537317415302047
2600,0.937091499367406,0.7537317415302047
2700,0.937091499367406,0.7537317415302047
2800,0.937091499367406,0.7537317415302047
2900,0.937091499367406,0.7537317415302047
3000,0.937091499367406,0.7537317415302047
