k,Adult log-likelihood
2,138.5590645434498
3,137.46158471070203
4,137.11765946412623
5,138.99858920226094
6,149.06011852335453
7,147.46772758708227
8,153.45580241811223
9,152.26450120961334
10,153.33546777439594
15,164.59616332750426
20,165.50875500987786
25,175.86714499943474
30,182.9627536934021
35,188.93047407510525
40,194.71449793187873
