k,Madelon BIC
2,-123720.20608685842
3,-121116.86409044293
4,-118618.37509356612
5,-115876.12739071624
6,-113035.27554207593
7,-110101.25215301082
8,-107177.95906993991
9,-104528.41256645278
10,-101632.23265527564
15,-87624.6817723831
20,-75051.65154669851
25,-63666.813395866295
30,-56529.706650655455
35,-51718.125231547165
40,-47779.66215695339
