k,Madelon sse (left)
2,20.385242953309334
3,19.991390851551387
4,19.650883804934573
5,19.413515197803438
6,19.16636324272433
7,18.950476735142786
8,18.761081124538137
9,18.584201566420866
10,18.432171526171572
15,17.704693656514447
20,17.23317688600208
25,16.784115290417276
30,16.417342664303625
35,16.159426331947547
40,15.914171723139589
