k,Adult BIC
2,-557962.8602821692
3,-545157.3798620538
4,-535476.1367562076
5,-535019.1424169709
6,-568478.9139486819
7,-553621.532093354
8,-570192.7613092611
9,-556998.2974652817
10,-553183.1958093272
15,-558593.394404799
20,-521100.3543522045
25,-522769.5940811919
30,-510911.3425586653
35,-494376.8660934911
40,-477080.7838359586
