k,Adult sse (left)
2,31.61803772162204
3,31.105804781071697
4,30.541331319993027
5,30.00340248408675
6,29.491806363106896
7,28.893358507732444
8,28.35403577608176
9,27.790723992361997
10,27.317345491205728
15,25.034868518847606
20,22.74668023587048
25,20.545544001162234
30,18.89412535679655
35,17.075382256037063
40,15.856784928265917
