,0,1,2,3,4,5,6,7,8,9
2,0.9713476399360375,0.9752731204701557,0.9724211730241222,0.9734465185261846,0.9715749096187207,0.9723626670479715,0.9709261413944413,0.9739242173218633,0.9718539629302737,0.9705180265494541
3,0.9637163656321496,0.9641681832362163,0.9645011326618522,0.961834742195751,0.9639455685320628,0.9631082333695048,0.9625805858359942,0.9612004939870737,0.9632989213816648,0.964878514724867
4,0.951762043228465,0.9568126813127392,0.9533712719231701,0.9548397689233595,0.9544857454308014,0.9544686837382779,0.9542556006631834,0.9537351455243961,0.9535683402938933,0.9539440076638038
5,0.943896744968431,0.9434777560079213,0.945361416500982,0.9442390799625366,0.9424679275910209,0.9435550966893345,0.9445181080343243,0.9441752782099554,0.9444019089546383,0.9364699024202789
6,0.9342386815569398,0.9398787685056099,0.937189149219452,0.9360226255927099,0.9347751454240566,0.9344582158039596,0.9336953554492579,0.9354722970853923,0.9373470669621392,0.9317074906184427
7,0.9283071324778901,0.9275713070766307,0.9262776816679652,0.9250050196715179,0.920848522741209,0.9249587523510073,0.9231072360752143,0.9237158501138951,0.9245737032632952,0.9235883024107024
8,0.9128742912253777,0.9116765897695448,0.9149157000455762,0.9150884026318591,0.9112334214010542,0.9155980378403659,0.9149007047073904,0.912299162117537,0.9180281268191426,0.9185906321126954
9,0.9087804114327119,0.9107372963228078,0.9058546598476905,0.9097184603982117,0.9023433361446555,0.9068867176872347,0.903877451714161,0.9059968157023218,0.9043504380242937,0.903902399794458
10,0.8939577279688479,0.894368989840293,0.8928339508779032,0.8967481565588973,0.8966337262157663,0.898573366584112,0.8930443193689511,0.89674536282385,0.9005839486861121,0.899563791650634
15,0.8462753253328479,0.8533528731893235,0.8423132958200014,0.8499311305661539,0.8464380669842855,0.8511400357016723,0.8482324652801848,0.8559035238226483,0.8477208247603925,0.8502349999002645
20,0.8096390973237042,0.8043472925328484,0.804212344562857,0.8031381815567021,0.7990514184270228,0.8031594314516368,0.808134261513546,0.8012662473043757,0.8021782818286807,0.8088542088543561
25,0.7547374201626882,0.7576343322531253,0.7572363410277644,0.7625381783916562,0.7537976278120136,0.7627408285400724,0.7575285852377689,0.7623838132042354,0.7538900014129419,0.7566982292416624
30,0.7046006931353621,0.7093190994562374,0.7108488096606358,0.7104303637556203,0.7124947415396385,0.7106855275808237,0.7088185473767759,0.7077492024614767,0.7127836386309707,0.7098781536538067
35,0.6699132457193829,0.6612691023042818,0.6608052293193165,0.667641798308024,0.6631628187290666,0.667299670248876,0.6695628576611193,0.6601532102022594,0.6533671343330247,0.6606966026813017
40,0.6142539093140273,0.6232501158096021,0.615325891368199,0.617492367925206,0.6208551536692474,0.6212610849379668,0.6147351950657706,0.6154485816680403,0.6134940243906827,0.6207277886599165
45,0.5631542766377424,0.5641417106790018,0.5754302048663262,0.572566778982562,0.5673606751910172,0.5712289688608043,0.5707285799272951,0.5707588579296873,0.5743978050931078,0.5708170527731395
50,0.5132566927669137,0.5252348669795115,0.5261582000395035,0.5231311000407498,0.5207657606982556,0.520625421853331,0.5204904502392167,0.5214634113052321,0.5198557739071715,0.528012858314868
55,0.4814634509583132,0.4758208677476448,0.4732329139794848,0.47414027907605943,0.47504802522878903,0.48329664300004427,0.48122917792182585,0.47730432844913134,0.47664749505854026,0.47414145456615026
60,0.4245852923716736,0.42661909642534906,0.43694225730384084,0.42688905081569123,0.4236905892711344,0.4334084405770532,0.4323967630567606,0.4328369553026702,0.426768049138705,0.4341084665968077
