k,Madelon sse (left)
2,479909.2380177566
3,452186.39065517613
4,433263.47947523644
5,417018.7141518608
6,404553.08299359016
7,393210.4199211537
8,384534.86012862343
9,374836.8965962477
10,369397.70806562074
15,343857.0570061351
20,323829.1492861083
25,308022.3471599183
30,297268.8246936074
35,286909.1466322583
40,276457.6906558691
