k,Adult sse (left)
2,200824.65799977584
3,183862.50597780535
4,169465.83698059022
5,156705.55971466107
6,147761.4174920729
7,140915.78769406662
8,134254.81587183336
9,126231.6329189387
10,120921.79208978824
15,95102.30125121624
20,77728.8249411608
25,63645.87947055929
30,55374.57755018704
35,50536.70213363985
40,47211.347115343495
