k,Madelon BIC
2,307903.8707898388
3,318634.8416666525
4,329805.743163847
5,340531.25525936176
6,351136.6832690978
7,361662.4269143649
8,372061.95409331995
9,381662.07117893535
10,391672.4082589938
15,406433.79398771026
20,369045.9566909024
25,307852.9533440219
30,288556.94289917994
35,276179.98253986065
40,300250.0139051989
