k,Adult BIC
2,111651.83097333746
3,114940.00946513121
4,-39801.382689460566
5,-26874.9868634014
6,-88156.38836995607
7,-104293.41415158664
8,-102218.252261699
9,-84838.65196157835
10,-149592.73719664913
15,-124694.19220723785
20,-125965.70735537086
25,-192791.4449590894
30,-175199.72529704665
35,-121600.36132918968
40,-130110.93796833989
