k,Adult sse (left)
2,195025.8783481142
3,188049.46816082453
4,183219.6342676478
5,178349.70199758525
6,174859.64554190083
7,170391.47150015517
8,168413.3397321038
9,164845.696745964
10,161052.65126023447
15,144817.17671319956
20,132048.49482396588
25,118225.40689433069
30,108043.51745723942
35,99268.313111715
40,91338.73304301933
