k,Madelon log-likelihood
2,-143.8071604675382
3,-142.63706300008712
4,-141.69141993078955
5,-140.51853737083903
6,-139.28438742018506
7,-138.00958218153676
8,-136.67038078660678
9,-134.92331709915658
10,-133.38554932723855
15,-107.69145553317095
20,-55.39061529750933
25,9.055717820842448
30,52.12603415243986
35,91.66622288938284
40,112.61100768517404
