k,Madelon sse (left)
2,476052.9452500952
3,468182.56499789987
4,461736.51410533924
5,457182.19360290363
6,452359.9711876812
7,449009.01593198953
8,446095.0843073405
9,443376.2591090457
10,440856.28757045994
15,429635.7187460012
20,421551.8565826706
25,414636.4252844823
30,407659.98440003366
35,403623.58788688993
40,399504.68571338704
