k,Madelon log-likelihood
2,133.88905618552698
3,134.88739498285946
4,135.93159111155575
5,137.29579891514874
6,138.3679094567397
7,139.84484815059827
8,143.05960220582264
9,143.96602513107675
10,145.5443768290411
15,157.9804756828883
20,176.49026905508885
25,195.3200827445021
30,212.9687752222981
35,227.388115928748
40,240.81245923128404
