k,Madelon BIC
2,77788.38032449008
3,78259.49463855964
4,78703.29790086577
5,79181.33889670087
6,79641.00520750726
7,79973.43127937209
8,80570.53330753722
9,81057.97183434416
10,81491.65050772877
15,83711.66964687052
20,86206.48349025808
25,88677.55150802778
30,90897.6118780621
35,92595.77201693234
40,95256.86367961651
