k,Adult BIC
2,79225.2440864798
3,53455.90352213722
4,53603.208974482084
5,52486.90954116777
6,51527.635267220045
7,49161.41643301391
8,47066.309901182794
9,47560.69295716293
10,49796.2616566791
15,51541.886080623015
20,18979.017467960115
25,21543.590031687603
30,6722.3520857792955
35,7794.250218598769
40,-4909.793539589791
