k,Adult log-likelihood
2,-18.94490428086662
3,-12.646545764368264
4,-12.599187251894858
5,-12.247051873608816
6,-11.932790388078827
7,-11.279179032732532
8,-10.69095897077143
9,-10.727314303844397
10,-11.183637230630833
15,-11.190235204255018
20,-2.921750438707272
25,-3.1258757012324616
30,0.8633927915814207
35,1.0192951293717192
40,4.497904146131635
