,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.46576576232910155,0.14666669014817518,0.0014783859252929688,0.0012482689849307928,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.6224489795918368,0.576530612244898,0.6173469387755102,0.4744897959183674,0.6020408163265306,0.5785714285714286,0.054436647625914845,126,0.6364795918367347,0.5905612244897959,0.6186224489795918,0.4770408163265306,0.5918367346938775,0.5829081632653061,0.05566254044684138
1,0.6423322677612304,0.14060749087870242,0.0032163619995117187,0.0027415375139244946,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.6326530612244898,0.47959183673469385,0.5153061224489796,0.5,0.5816326530612245,0.5418367346938775,0.05685056439666989,227,0.6211734693877551,0.5242346938775511,0.5471938775510204,0.5,0.5778061224489796,0.5540816326530613,0.042254632615955495
2,0.9573775291442871,0.34403907354559804,0.0016097068786621095,0.0032194137573242185,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.5153061224489796,0.6326530612244898,0.5816326530612245,0.6071428571428571,0.5255102040816326,0.5724489795918367,0.04556553788115533,158,0.5267857142857143,0.6071428571428571,0.5905612244897959,0.6007653061224489,0.5446428571428571,0.5739795918367346,0.03218736795017856
3,0.794258975982666,0.2581301200413383,0.0012161731719970703,0.000993114417066303,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.6224489795918368,0.5918367346938775,0.5969387755102041,0.5306122448979592,0.5357142857142857,0.5755102040816327,0.036134553489032196,140,0.5892857142857143,0.6084183673469388,0.5829081632653061,0.5714285714285714,0.5727040816326531,0.5849489795918367,0.013464942061629235
4,0.4221793651580811,0.09881541944663667,0.003029155731201172,0.002694998126114974,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.6173469387755102,0.5,0.5,0.5255102040816326,0.5,0.5285714285714286,0.04547404072481058,252,0.5918367346938775,0.5,0.5,0.5561224489795918,0.5,0.5295918367346939,0.03796137803620056
5,0.5685676097869873,0.08576487275057221,0.0008387565612792969,0.0010279214685703015,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.6224489795918368,0.5816326530612245,0.5969387755102041,0.576530612244898,0.5969387755102041,0.5948979591836735,0.016004476674855234,73,0.5943877551020408,0.5994897959183674,0.6492346938775511,0.6020408163265306,0.6211734693877551,0.613265306122449,0.020141756064440713
6,0.5827614784240722,0.1986984565221928,0.0024328708648681642,0.003927082229867031,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.6224489795918368,0.5867346938775511,0.5816326530612245,0.6020408163265306,0.6224489795918368,0.6030612244897959,0.017196224026890534,52,0.548469387755102,0.6186224489795918,0.6275510204081632,0.6147959183673469,0.6670918367346939,0.6153061224489796,0.03823638362741641
7,0.6159237861633301,0.1421213990623521,0.004848337173461914,0.003958651800348577,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.6122448979591837,0.6071428571428571,0.576530612244898,0.5867346938775511,0.5867346938775511,0.5938775510204082,0.013537244042266916,77,0.5867346938775511,0.6147959183673469,0.6288265306122449,0.5829081632653061,0.5880102040816326,0.6002551020408163,0.01822864294382637
8,0.6582974910736084,0.10718639151594542,0.002210378646850586,0.003143141045213055,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.6836734693877551,0.5816326530612245,0.5714285714285714,0.5867346938775511,0.6071428571428571,0.6061224489795919,0.04048333556097423,41,0.6594387755102041,0.5994897959183674,0.6211734693877551,0.6288265306122449,0.6403061224489796,0.6298469387755102,0.01991430516456505
9,0.7154935359954834,0.14481478352505553,0.002545595169067383,0.002958038455219036,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.6479591836734694,0.5969387755102041,0.5867346938775511,0.49489795918367346,0.6275510204081632,0.5908163265306122,0.05266729755332221,91,0.6288265306122449,0.5943877551020408,0.6377551020408163,0.5,0.6403061224489796,0.6002551020408162,0.05274878579012375
10,0.743313980102539,0.15010860836991896,0.0010490894317626953,0.0009082818096366542,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.6173469387755102,0.6530612244897959,0.6479591836734694,0.6020408163265306,0.5612244897959183,0.6163265306122448,0.03344075430239579,23,0.5752551020408163,0.6313775510204082,0.6785714285714286,0.625,0.5982142857142857,0.6216836734693878,0.03477818388208013
