k,Madelon sse (left)
2,32692.20883671451
3,30231.636413538577
4,28670.716591540408
5,27477.385999196897
6,26519.36468623453
7,25697.04881614477
8,25028.227669809898
9,24472.036326185596
10,24065.563746152337
15,22261.26794919399
20,21154.92832748272
25,20047.06118642413
30,19343.850802383633
35,18664.20726592528
40,18128.719731028323
