,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.6193192005157471,0.32972575720024866,0.004453277587890625,0.0029536213543316465,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5915079365079365,0.5000000000000001,0.5746031746031747,0.5,0.5,0.533254274535027,0.041045220666028275,245,0.6103075400972646,0.5000000000000001,0.6025528475676881,0.5000000000000001,0.5000000000000001,0.5425720775329906,0.05219756894564401
1,1.5286852359771728,0.47299699705476855,0.006252574920654297,0.0040751426024812345,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.5927777777777778,0.5950793650793651,0.62484126984127,0.6675396825396827,0.586952325805829,0.6134636372800855,0.030077824829563747,173,0.620432136735803,0.6031699582554481,0.6284097853848283,0.6548221228209524,0.6012301587301588,0.6216128323854381,0.01952456183905596
2,1.1522240161895752,0.5959898128269082,0.006226301193237305,0.005679156325767842,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.5425396825396827,0.6510317460317461,0.5,0.5,0.535900405327157,0.5459040088071678,0.0554832250105926,223,0.5616851899406977,0.6645545555708176,0.5000000000000001,0.5000000000000001,0.5552976190476191,0.5563074729118268,0.060147208681507795
3,1.1896173477172851,0.32653123069243195,0.0008989334106445313,0.0011087523748131557,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.69484126984127,0.5750793650793652,0.5,0.6564285714285716,0.6837322267258572,0.6219567439810418,0.07402110694165753,162,0.6802819200503244,0.5923506144232703,0.5000000000000001,0.6544866933019602,0.7097420634920636,0.6273722582535237,0.07452465018188027
4,1.1039867401123047,0.12107306265358976,0.005842399597167969,0.002727348909841676,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.6157142857142859,0.5954761904761906,0.6884920634920636,0.6277777777777779,0.6802740783632504,0.6415095157308511,0.03655754784120633,139,0.6381611295912538,0.6044151283689765,0.7007908970201517,0.6256298012704519,0.6914880952380954,0.6520970102977859,0.03765909177327961
5,0.8780500411987304,0.10715188909631736,0.001223611831665039,0.000999076018650729,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.6373015873015875,0.6657142857142858,0.5475396825396825,0.6932539682539683,0.636411889596603,0.6360439280194643,0.04898898371971567,145,0.6470833557284792,0.6440296531638867,0.5789204942459405,0.6784196392490361,0.6860317460317461,0.6468969776838177,0.03782662256416621
6,0.9098388671875,0.2894915715970102,0.0022092342376708986,0.0031415507638617238,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.6423015873015873,0.5954761904761904,0.6143650793650794,0.6900793650793652,0.6840056617126681,0.6452081816254481,0.037285733063958784,129,0.5955814874756391,0.5943283546435589,0.6340931757511332,0.6950457955850708,0.7051984126984128,0.6448494452307629,0.047449090722380426
7,0.9046265125274658,0.31826453028313295,0.004443693161010742,0.003215535239782126,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.6977777777777779,0.6671428571428573,0.6093650793650796,0.7084920634920636,0.6260374445087822,0.661797511992236,0.0388138462482475,104,0.6881092723866856,0.6768042027228516,0.6239446909569396,0.6960869210357109,0.6561309523809525,0.668215207896628,0.025893184156616053
8,0.8781919002532959,0.19516856244749434,0.0005997180938720703,0.0011994361877441405,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.6861904761904764,0.7098412698412699,0.5761904761904763,0.5586507936507937,0.5529177121533809,0.6168197379192707,0.06720896686724458,166,0.6827881857144847,0.7181227492878344,0.6242801204759317,0.5664508769939146,0.5884325396825397,0.636014894430941,0.056868934457843814
9,1.1820152282714844,0.2602434079189028,0.002615070343017578,0.0033473861882999073,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.7469047619047621,0.70984126984127,0.6277777777777779,0.6998412698412699,0.6818664350511484,0.6932572820128473,0.0390396368731031,55,0.7243615392731232,0.7235941322726991,0.645768511827623,0.6898481310504221,0.708293650793651,0.6983731930435036,0.02915419203180264
10,1.421274185180664,0.17477902989606295,0.004273605346679687,0.004149225008086078,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",0.7093650793650795,0.7271428571428573,0.6564285714285716,0.6898412698412697,0.6922408801389694,0.6950063971419066,0.023512236974342418,54,0.6878007170428057,0.7274500787313797,0.6807059348132045,0.6822059119203888,0.7205753968253971,0.6997476078666351,0.02007111503939702
