,0,1,2,3,4,5,6,7,8,9
2,0.9762376202064994,0.9762376202064994,0.9762376202064994,0.9762376202064994,0.9762376202064994,0.9762376202064994,0.9762376202064994,0.9762376202064994,0.9762376202064994,0.9762376202064994
3,0.9674718094712368,0.9674718094712368,0.9674718094712368,0.9674718094712368,0.9674718094712368,0.9674718094712368,0.9674718094712368,0.9674718094712368,0.9674718094712368,0.9674718094712368
4,0.961011188779691,0.961011188779691,0.961011188779691,0.961011188779691,0.961011188779691,0.961011188779691,0.961011188779691,0.961011188779691,0.961011188779691,0.961011188779691
5,0.9556086870469251,0.9556086870469251,0.9556086870469251,0.9556086870469251,0.9556086870469251,0.9556086870469251,0.9556086870469251,0.9556086870469251,0.9556086870469251,0.9556086870469251
6,0.9507323245170826,0.9507323245170826,0.9507323245170826,0.9507323245170826,0.9507323245170826,0.9507323245170826,0.9507323245170826,0.9507323245170826,0.9507323245170826,0.9507323245170826
7,0.9459097995060769,0.9459097995060769,0.9459097995060769,0.9459097995060769,0.9459097995060769,0.9459097995060769,0.9459097995060769,0.9459097995060769,0.9459097995060769,0.9459097995060769
8,0.941121175854466,0.941121175854466,0.941121175854466,0.941121175854466,0.941121175854466,0.941121175854466,0.941121175854466,0.941121175854466,0.941121175854466,0.941121175854466
9,0.936370918252825,0.936370918252825,0.936370918252825,0.936370918252825,0.936370918252825,0.936370918252825,0.936370918252825,0.936370918252825,0.936370918252825,0.936370918252825
10,0.93164670025513,0.93164670025513,0.93164670025513,0.93164670025513,0.93164670025513,0.93164670025513,0.93164670025513,0.93164670025513,0.93164670025513,0.93164670025513
15,0.9086259658401885,0.9086259658401885,0.9086259658401885,0.9086259658401885,0.9086259658401885,0.9086259658401885,0.9086259658401885,0.9086259658401885,0.9086259658401885,0.9086259658401885
20,0.8862984460306907,0.8862984460306907,0.8862984460306907,0.8862984460306907,0.8862984460306907,0.8862984460306907,0.8862984460306907,0.8862984460306907,0.8862984460306907,0.8862984460306907
25,0.8646422117270867,0.8646422117270867,0.8646422117270867,0.8646422117270867,0.8646422117270867,0.8646422117270867,0.8646422117270867,0.8646422117270867,0.8646422117270867,0.8646422117270867
30,0.8435069652756706,0.8435069652756706,0.8435069652756706,0.8435069652756706,0.8435069652756706,0.8435069652756706,0.8435069652756706,0.8435069652756706,0.8435069652756706,0.8435069652756706
35,0.8228661443541648,0.8228661443541648,0.8228661443541648,0.8228661443541648,0.8228661443541648,0.8228661443541648,0.8228661443541648,0.8228661443541648,0.8228661443541648,0.8228661443541648
40,0.8027387108167592,0.8027387108167592,0.8027387108167592,0.8027387108167592,0.8027387108167592,0.8027387108167592,0.8027387108167592,0.8027387108167592,0.8027387108167592,0.8027387108167592
45,0.7830118465507663,0.7830118465507663,0.7830118465507663,0.7830118465507663,0.7830118465507663,0.7830118465507663,0.7830118465507663,0.7830118465507663,0.7830118465507663,0.7830118465507663
50,0.7637699890710917,0.7637699890710917,0.7637699890710917,0.7637699890710917,0.7637699890710917,0.7637699890710917,0.7637699890710917,0.7637699890710917,0.7637699890710917,0.7637699890710917
55,0.744924006355924,0.744924006355924,0.744924006355924,0.744924006355924,0.744924006355924,0.744924006355924,0.744924006355924,0.744924006355924,0.744924006355924,0.744924006355924
60,0.7265585808638038,0.7265585808638038,0.7265585808638038,0.7265585808638038,0.7265585808638038,0.7265585808638038,0.7265585808638038,0.7265585808638038,0.7265585808638038,0.7265585808638038
