k,Adult BIC
2,-13649.591080350168
3,-56510.20585188898
4,-48064.89612852469
5,-60171.385219606156
6,-69290.45815774157
7,-90446.48056495615
8,-88295.27382589394
9,-93815.42691723825
10,-94916.21500576849
15,-112668.46651368027
20,-111315.44880533249
25,-117542.04264105846
30,-114146.94401072044
35,-115120.72818039535
40,-118140.72011068367
