k,Madelon BIC
2,989.1698095311262
3,1572.7753898392393
4,3014.81060374367
5,3764.0210902067793
6,4842.060977583804
7,5866.917039933111
8,6874.4111080446855
9,8009.029291605912
10,8919.232628349062
15,14425.981976429855
20,20283.552881570307
25,25831.61059182233
30,31018.80553163276
35,34595.59109177376
40,36789.4605450367
