k,Adult sse (left)
2,16818.02680714291
3,14371.345177470988
4,12650.144813507093
5,11401.685122680226
6,9914.377805064856
7,9167.83797400464
8,8621.038043658653
9,8214.867470880059
10,7837.975509999385
15,6359.667805455074
20,5550.123761607376
25,5068.0480654432085
30,4655.511967290873
35,4314.504025655386
40,4019.2799241528287
