k,Madelon log-likelihood
2,-39.72338756725229
3,-39.6547874853599
4,-39.60343589048644
5,-39.44992926546951
6,-39.36654932432164
7,-39.29050514409193
8,-39.22536153591234
9,-39.14532559858239
10,-39.02183603238471
15,-38.667562715955725
20,-38.237324056068154
25,-37.81151271210459
30,-37.564026293716736
35,-37.11359130062875
40,-36.81349993156639
