k,Madelon BIC
2,79104.48664728578
3,79596.79777079818
4,80122.91592886767
5,80448.81022785598
6,80912.15282722763
7,81389.87351799889
8,81888.95932998837
9,82358.85617684314
10,82743.58391111718
15,85183.04463102376
20,87473.61327775153
25,89772.85946369033
30,92421.62250375755
35,94672.6063374125
40,97218.26367415767
